publish_date,publish_time,title,link,platform,media_name,channel_type,reading_count,reading_count_note,content_type,sentiment,keyword_hit,source_origin,author,notes
2026-01-03,14:51,迈瑞全球热招！,https://mp.weixin.qq.com/s/lfrZydYvhS5uOkdN0gUaWg,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,全球化/基地布局 | 招聘/组织品牌,positive,迈瑞,转载品牌官方素材,,文件名: 迈瑞全球热招_.md
2026-01-04,16:08,迈瑞医疗，在济南成立新公司！,https://mp.weixin.qq.com/s/9p\_AathUwefa5ekPrVK3PQ,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,其他品牌曝光,positive,迈瑞,媒体自写/转载未明,行星,文件名: 迈瑞医疗_在济南成立新公司_.md
2026-01-08,14:50,迈瑞，MT 8000流水线全面升级！,https://mp.weixin.qq.com/s/0pvxxjMC89VND75KzP-2iw,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,流水线装机/标杆落地,positive,迈瑞,转载品牌官方公众号,,文件名: 迈瑞_MT_8000流水线全面升级_.md
2026-01-10,14:15,迈瑞，连获八项大奖！,https://mp.weixin.qq.com/s/yktedA9I3rNy6z6U2yl-yQ,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,品牌背书/奖项,positive,迈瑞,转载品牌官方素材,,文件名: 迈瑞_连获八项大奖_.md
2026-01-14,09:00,迈瑞，供应链&质量中心大量岗位热招！,https://mp.weixin.qq.com/s/pGPTez6How8akrUKySP4aA,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,招聘/组织品牌,positive,迈瑞,转载品牌官方素材,,文件名: 迈瑞_供应链_质量中心大量岗位热招_.md
2026-01-19,14:35,迈瑞，公布三大中长期计划！,https://mp.weixin.qq.com/s/N6sFGIrRTbdgaFq16Nhtgg,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,财报经营/资本预期,positive,迈瑞,转载品牌官方素材,,文件名: 迈瑞_公布三大中长期计划_.md
2026-01-20,14:21,365万！迈瑞流水线MT 8000中标,https://mp.weixin.qq.com/s/5-cvZnViDJYLIqu8JH8hQA,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,流水线装机/标杆落地,positive,迈瑞,媒体自写/转载未明,,文件名: 365万_迈瑞流水线MT_8000中标.md
2026-01-28,13:30,迈瑞医疗，又一全球化大布局,https://mp.weixin.qq.com/s/lLJWP9qyfD2HMx-zliWcPQ,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,全球化/基地布局,positive,迈瑞,媒体自写/转载未明,器械君,文件名: 迈瑞医疗_又一全球化大布局.md
2026-01-29,16:18,迈瑞，向42家医疗机构捐赠3069万元医疗物资！,https://mp.weixin.qq.com/s/igIgEhATlcpl9XXHqxegaQ,wechat,体外诊断观察,external,NA,导出文章未展示可解析阅读量,公益/社会责任,positive,迈瑞,媒体自写/转载未明,,文件名: 迈瑞_向42家医疗机构捐赠3069万元医疗物资_.md
2026-01-30,,迈瑞与艾迪康签署战略合作协议，共谋检验医学新未来,https://www.mindray.com/cn/media-center/news/mindray-adicon-strategic-cooperation,website,迈瑞官网,official,NA,官网未公开阅读量,战略合作/官网主叙事,positive,迈瑞;检验医学,品牌官网,,Q1官方战略合作锚点
